Exited,PointEarned,Attrition_Status
0,657,Retained
1,369,Attrited
0,968,Retained
0,226,Retained
0,342,Retained
0,939,Retained
0,954,Retained
0,763,Retained
0,370,Retained
0,663,Retained
0,738,Retained
0,749,Retained
0,583,Retained
0,673,Retained
0,856,Retained
0,376,Retained
0,452,Retained
1,845,Attrited
0,687,Retained
0,687,Retained
0,709,Retained
0,601,Retained
0,376,Retained
0,986,Retained
0,662,Retained
0,396,Retained
0,962,Retained
0,539,Retained
0,793,Retained
0,284,Retained
0,396,Retained
0,281,Retained
0,916,Retained
0,238,Retained
0,412,Retained
0,486,Retained
0,503,Retained
0,851,Retained
0,606,Retained
0,385,Retained
0,564,Retained
0,914,Retained
1,668,Attrited
0,507,Retained
0,976,Retained
0,997,Retained
1,462,Attrited
0,248,Retained
1,385,Attrited
1,523,Attrited
0,976,Retained
0,647,Retained
0,428,Retained
0,586,Retained
0,352,Retained
1,590,Attrited
0,576,Retained
1,732,Attrited
0,515,Retained
0,490,Retained
1,815,Attrited
1,970,Attrited
0,533,Retained
0,676,Retained
0,991,Retained
0,306,Retained
0,524,Retained
0,260,Retained
0,882,Retained
0,331,Retained
1,663,Attrited
0,917,Retained
0,563,Retained
0,994,Retained
0,566,Retained
0,555,Retained
0,773,Retained
0,874,Retained
0,529,Retained
0,433,Retained
0,956,Retained
0,847,Retained
1,643,Attrited
0,867,Retained
0,603,Retained
0,391,Retained
1,407,Attrited
1,354,Attrited
0,663,Retained
0,799,Retained
0,525,Retained
0,372,Retained
0,561,Retained
0,642,Retained
0,825,Retained
0,986,Retained
0,904,Retained
1,417,Attrited
1,738,Attrited
0,440,Retained
0,245,Retained
0,575,Retained
0,987,Retained
0,873,Retained
0,330,Retained
0,763,Retained
0,833,Retained
1,544,Attrited
0,574,Retained
0,508,Retained
0,700,Retained
0,804,Retained
0,596,Retained
0,541,Retained
0,304,Retained
0,244,Retained
0,429,Retained
0,676,Retained
0,527,Retained
0,734,Retained
0,470,Retained
0,548,Retained
0,956,Retained
1,696,Attrited
0,778,Retained
1,550,Attrited
0,255,Retained
1,619,Attrited
0,470,Retained
1,489,Attrited
0,837,Retained
0,257,Retained
0,911,Retained
1,423,Attrited
0,868,Retained
0,365,Retained
0,244,Retained
1,377,Attrited
1,261,Attrited
0,344,Retained
0,527,Retained
0,396,Retained
0,879,Retained
0,675,Retained
0,797,Retained
1,848,Attrited
0,829,Retained
1,282,Attrited
0,701,Retained
0,977,Retained
0,368,Retained
0,373,Retained
0,227,Retained
0,474,Retained
1,887,Attrited
1,560,Attrited
1,525,Attrited
0,796,Retained
0,606,Retained
0,263,Retained
0,260,Retained
0,805,Retained
1,408,Attrited
0,448,Retained
0,859,Retained
0,843,Retained
0,765,Retained
0,648,Retained
0,662,Retained
0,671,Retained
0,566,Retained
0,552,Retained
0,802,Retained
0,966,Retained
0,619,Retained
0,639,Retained
1,436,Attrited
1,968,Attrited
0,853,Retained
0,779,Retained
0,236,Retained
0,972,Retained
0,841,Retained
0,726,Retained
0,631,Retained
0,574,Retained
0,385,Retained
0,572,Retained
0,778,Retained
0,640,Retained
0,383,Retained
0,684,Retained
0,373,Retained
0,974,Retained
0,885,Retained
0,977,Retained
0,729,Retained
0,602,Retained
1,380,Attrited
0,320,Retained
0,943,Retained
0,726,Retained
0,610,Retained
0,251,Retained
0,850,Retained
0,640,Retained
0,245,Retained
0,404,Retained
0,457,Retained
0,325,Retained
0,702,Retained
0,369,Retained
1,892,Attrited
0,871,Retained
0,537,Retained
0,417,Retained
1,751,Attrited
1,758,Attrited
0,803,Retained
1,444,Attrited
0,406,Retained
1,501,Attrited
1,330,Attrited
1,969,Attrited
0,950,Retained
0,335,Retained
0,304,Retained
0,625,Retained
1,719,Attrited
0,336,Retained
0,733,Retained
1,743,Attrited
0,979,Retained
0,832,Retained
0,622,Retained
0,907,Retained
0,499,Retained
0,257,Retained
0,846,Retained
0,384,Retained
1,482,Attrited
0,474,Retained
0,895,Retained
0,256,Retained
0,301,Retained
1,830,Attrited
0,681,Retained
0,635,Retained
0,590,Retained
0,239,Retained
1,997,Attrited
1,985,Attrited
0,958,Retained
0,285,Retained
0,955,Retained
1,936,Attrited
1,535,Attrited
1,451,Attrited
0,750,Retained
0,842,Retained
0,779,Retained
0,443,Retained
1,976,Attrited
0,908,Retained
1,889,Attrited
1,758,Attrited
0,420,Retained
0,897,Retained
0,243,Retained
0,412,Retained
0,510,Retained
0,518,Retained
0,627,Retained
0,448,Retained
0,718,Retained
0,775,Retained
0,897,Retained
1,810,Attrited
0,586,Retained
0,813,Retained
0,510,Retained
0,563,Retained
0,404,Retained
0,770,Retained
0,242,Retained
1,777,Attrited
0,359,Retained
1,444,Attrited
1,672,Attrited
0,865,Retained
0,842,Retained
0,267,Retained
0,784,Retained
1,244,Attrited
1,248,Attrited
0,662,Retained
1,589,Attrited
0,851,Retained
0,711,Retained
0,918,Retained
0,354,Retained
0,969,Retained
0,564,Retained
0,885,Retained
0,742,Retained
1,839,Attrited
0,895,Retained
1,669,Attrited
0,475,Retained
1,924,Attrited
0,393,Retained
0,1000,Retained
0,698,Retained
0,427,Retained
0,831,Retained
0,921,Retained
0,441,Retained
0,521,Retained
0,527,Retained
0,635,Retained
0,545,Retained
0,243,Retained
0,796,Retained
0,543,Retained
1,542,Attrited
0,300,Retained
0,576,Retained
1,716,Attrited
0,345,Retained
0,477,Retained
0,673,Retained
0,259,Retained
1,641,Attrited
0,251,Retained
0,701,Retained
0,837,Retained
0,960,Retained
1,967,Attrited
1,704,Attrited
0,792,Retained
0,662,Retained
0,932,Retained
0,683,Retained
0,607,Retained
0,360,Retained
0,448,Retained
0,249,Retained
0,233,Retained
0,239,Retained
1,219,Attrited
1,485,Attrited
0,275,Retained
0,915,Retained
1,965,Attrited
0,339,Retained
0,880,Retained
1,219,Attrited
0,364,Retained
0,791,Retained
0,232,Retained
0,703,Retained
0,263,Retained
0,712,Retained
1,697,Attrited
0,877,Retained
0,331,Retained
0,233,Retained
0,332,Retained
1,953,Attrited
0,756,Retained
1,570,Attrited
0,966,Retained
0,739,Retained
0,682,Retained
1,362,Attrited
0,965,Retained
1,720,Attrited
0,697,Retained
1,384,Attrited
0,942,Retained
1,712,Attrited
0,655,Retained
0,363,Retained
0,867,Retained
1,936,Attrited
0,817,Retained
0,823,Retained
1,450,Attrited
0,406,Retained
0,999,Retained
0,535,Retained
0,687,Retained
1,336,Attrited
0,537,Retained
0,982,Retained
0,559,Retained
0,700,Retained
0,556,Retained
1,732,Attrited
0,816,Retained
0,685,Retained
0,401,Retained
0,578,Retained
0,968,Retained
0,265,Retained
0,783,Retained
1,525,Attrited
0,324,Retained
0,264,Retained
0,906,Retained
1,310,Attrited
0,905,Retained
0,633,Retained
0,280,Retained
0,741,Retained
1,353,Attrited
0,482,Retained
0,791,Retained
1,299,Attrited
0,242,Retained
1,534,Attrited
0,743,Retained
0,656,Retained
0,652,Retained
1,981,Attrited
0,686,Retained
0,581,Retained
0,257,Retained
0,785,Retained
0,907,Retained
0,701,Retained
0,762,Retained
1,529,Attrited
0,499,Retained
0,658,Retained
1,888,Attrited
0,864,Retained
0,527,Retained
0,372,Retained
1,848,Attrited
0,285,Retained
1,603,Attrited
0,828,Retained
0,586,Retained
0,522,Retained
0,836,Retained
0,852,Retained
0,770,Retained
0,776,Retained
1,611,Attrited
0,628,Retained
1,647,Attrited
1,765,Attrited
1,447,Attrited
1,591,Attrited
0,659,Retained
0,403,Retained
0,862,Retained
0,253,Retained
0,580,Retained
0,351,Retained
0,296,Retained
0,479,Retained
0,241,Retained
0,383,Retained
0,413,Retained
0,879,Retained
0,251,Retained
1,613,Attrited
0,368,Retained
0,544,Retained
0,889,Retained
0,821,Retained
0,613,Retained
0,915,Retained
0,903,Retained
0,936,Retained
0,560,Retained
0,239,Retained
0,645,Retained
0,295,Retained
1,751,Attrited
0,309,Retained
0,570,Retained
0,247,Retained
0,523,Retained
1,545,Attrited
0,403,Retained
0,681,Retained
0,592,Retained
1,839,Attrited
1,375,Attrited
0,588,Retained
0,656,Retained
0,589,Retained
1,400,Attrited
1,668,Attrited
0,668,Retained
0,304,Retained
0,635,Retained
0,902,Retained
0,797,Retained
0,962,Retained
0,515,Retained
0,299,Retained
0,450,Retained
0,226,Retained
0,516,Retained
1,469,Attrited
0,868,Retained
0,520,Retained
0,817,Retained
0,947,Retained
1,326,Attrited
0,604,Retained
0,293,Retained
0,666,Retained
0,411,Retained
0,239,Retained
0,305,Retained
0,455,Retained
1,704,Attrited
0,258,Retained
0,523,Retained
0,932,Retained
0,805,Retained
0,242,Retained
0,808,Retained
0,910,Retained
0,293,Retained
0,890,Retained
0,950,Retained
0,354,Retained
0,652,Retained
1,966,Attrited
1,320,Attrited
1,324,Attrited
1,981,Attrited
0,560,Retained
1,808,Attrited
0,457,Retained
1,219,Attrited
0,730,Retained
1,257,Attrited
0,282,Retained
1,428,Attrited
0,988,Retained
0,530,Retained
0,319,Retained
0,749,Retained
0,354,Retained
0,236,Retained
0,356,Retained
0,795,Retained
0,982,Retained
0,303,Retained
0,514,Retained
0,624,Retained
0,513,Retained
0,223,Retained
0,610,Retained
0,366,Retained
1,474,Attrited
0,265,Retained
0,572,Retained
0,311,Retained
1,984,Attrited
0,261,Retained
1,928,Attrited
0,550,Retained
1,911,Attrited
0,862,Retained
1,562,Attrited
0,535,Retained
1,950,Attrited
0,730,Retained
1,442,Attrited
0,767,Retained
0,299,Retained
0,848,Retained
0,875,Retained
0,616,Retained
0,444,Retained
0,811,Retained
0,466,Retained
1,712,Attrited
0,668,Retained
0,727,Retained
0,962,Retained
1,930,Attrited
0,893,Retained
0,698,Retained
0,737,Retained
1,709,Attrited
0,597,Retained
1,497,Attrited
1,634,Attrited
0,295,Retained
0,702,Retained
0,876,Retained
0,500,Retained
0,762,Retained
0,886,Retained
0,952,Retained
0,312,Retained
0,352,Retained
0,809,Retained
0,913,Retained
0,935,Retained
1,726,Attrited
0,740,Retained
0,796,Retained
1,524,Attrited
0,701,Retained
0,276,Retained
0,526,Retained
1,312,Attrited
0,882,Retained
0,609,Retained
0,638,Retained
0,891,Retained
0,577,Retained
0,684,Retained
0,837,Retained
0,394,Retained
0,931,Retained
0,878,Retained
0,528,Retained
0,868,Retained
0,801,Retained
0,740,Retained
0,371,Retained
0,939,Retained
0,512,Retained
0,663,Retained
1,356,Attrited
1,762,Attrited
0,303,Retained
0,847,Retained
0,637,Retained
1,844,Attrited
0,433,Retained
0,569,Retained
0,826,Retained
1,381,Attrited
0,814,Retained
1,734,Attrited
1,248,Attrited
0,907,Retained
1,512,Attrited
1,452,Attrited
1,515,Attrited
1,546,Attrited
0,675,Retained
0,561,Retained
1,748,Attrited
0,251,Retained
0,305,Retained
0,952,Retained
0,723,Retained
0,911,Retained
0,546,Retained
1,254,Attrited
0,702,Retained
0,585,Retained
0,763,Retained
0,239,Retained
1,637,Attrited
0,933,Retained
1,884,Attrited
0,889,Retained
0,447,Retained
1,316,Attrited
0,499,Retained
0,293,Retained
0,818,Retained
0,400,Retained
0,291,Retained
0,304,Retained
0,316,Retained
0,572,Retained
1,451,Attrited
0,523,Retained
0,222,Retained
0,938,Retained
0,408,Retained
0,690,Retained
0,545,Retained
1,448,Attrited
0,227,Retained
0,879,Retained
0,777,Retained
0,782,Retained
1,823,Attrited
0,380,Retained
1,555,Attrited
0,339,Retained
0,991,Retained
0,734,Retained
0,935,Retained
0,267,Retained
0,274,Retained
0,247,Retained
0,712,Retained
1,647,Attrited
0,980,Retained
0,225,Retained
1,904,Attrited
0,581,Retained
0,458,Retained
0,776,Retained
0,803,Retained
0,357,Retained
0,784,Retained
1,570,Attrited
0,904,Retained
0,935,Retained
0,473,Retained
1,438,Attrited
0,419,Retained
0,442,Retained
0,630,Retained
0,425,Retained
0,934,Retained
0,629,Retained
0,254,Retained
0,447,Retained
1,863,Attrited
0,626,Retained
0,834,Retained
1,334,Attrited
1,530,Attrited
1,746,Attrited
0,793,Retained
1,946,Attrited
0,246,Retained
0,439,Retained
0,927,Retained
1,657,Attrited
1,420,Attrited
0,387,Retained
0,439,Retained
0,579,Retained
0,615,Retained
0,368,Retained
0,310,Retained
0,688,Retained
0,459,Retained
0,508,Retained
1,649,Attrited
0,276,Retained
0,747,Retained
0,965,Retained
0,841,Retained
1,957,Attrited
1,308,Attrited
0,551,Retained
0,818,Retained
0,627,Retained
1,615,Attrited
1,694,Attrited
0,658,Retained
1,232,Attrited
0,627,Retained
0,304,Retained
0,816,Retained
0,528,Retained
0,342,Retained
0,419,Retained
1,357,Attrited
0,964,Retained
0,398,Retained
0,816,Retained
1,453,Attrited
1,829,Attrited
0,534,Retained
0,628,Retained
1,358,Attrited
0,795,Retained
0,306,Retained
0,799,Retained
0,372,Retained
0,892,Retained
0,809,Retained
0,883,Retained
0,351,Retained
0,381,Retained
0,373,Retained
0,469,Retained
0,892,Retained
0,720,Retained
0,516,Retained
1,560,Attrited
0,565,Retained
0,742,Retained
1,586,Attrited
0,525,Retained
0,817,Retained
0,720,Retained
1,516,Attrited
0,784,Retained
0,490,Retained
0,987,Retained
0,988,Retained
0,315,Retained
0,476,Retained
0,544,Retained
0,572,Retained
0,870,Retained
1,889,Attrited
0,629,Retained
0,564,Retained
0,697,Retained
0,888,Retained
0,949,Retained
1,344,Attrited
0,780,Retained
0,757,Retained
1,525,Attrited
0,739,Retained
1,727,Attrited
0,537,Retained
0,875,Retained
0,896,Retained
1,741,Attrited
0,244,Retained
0,328,Retained
0,361,Retained
0,683,Retained
0,660,Retained
1,553,Attrited
0,837,Retained
0,750,Retained
0,386,Retained
0,880,Retained
1,741,Attrited
1,974,Attrited
0,574,Retained
0,500,Retained
1,400,Attrited
1,448,Attrited
1,755,Attrited
1,793,Attrited
0,888,Retained
0,872,Retained
0,929,Retained
1,967,Attrited
0,686,Retained
1,292,Attrited
1,608,Attrited
0,377,Retained
0,238,Retained
0,381,Retained
1,869,Attrited
0,774,Retained
0,416,Retained
0,311,Retained
0,265,Retained
0,515,Retained
0,975,Retained
1,963,Attrited
0,601,Retained
0,871,Retained
0,557,Retained
1,403,Attrited
0,726,Retained
0,988,Retained
0,425,Retained
1,705,Attrited
0,413,Retained
0,640,Retained
0,973,Retained
0,949,Retained
0,490,Retained
1,843,Attrited
1,289,Attrited
0,420,Retained
0,564,Retained
0,519,Retained
1,342,Attrited
1,322,Attrited
0,349,Retained
0,605,Retained
0,754,Retained
0,724,Retained
0,664,Retained
0,469,Retained
0,983,Retained
0,485,Retained
0,830,Retained
0,295,Retained
0,808,Retained
0,910,Retained
0,357,Retained
1,367,Attrited
0,957,Retained
0,502,Retained
0,482,Retained
0,660,Retained
0,679,Retained
1,434,Attrited
0,292,Retained
0,689,Retained
0,806,Retained
0,906,Retained
0,558,Retained
0,343,Retained
0,400,Retained
0,324,Retained
0,257,Retained
0,459,Retained
0,509,Retained
0,806,Retained
0,716,Retained
1,369,Attrited
0,575,Retained
0,504,Retained
1,489,Attrited
0,371,Retained
1,240,Attrited
0,733,Retained
0,960,Retained
0,606,Retained
0,772,Retained
0,851,Retained
0,886,Retained
0,893,Retained
0,624,Retained
1,674,Attrited
1,651,Attrited
0,530,Retained
0,230,Retained
0,674,Retained
0,999,Retained
1,828,Attrited
0,900,Retained
0,786,Retained
0,621,Retained
0,931,Retained
1,778,Attrited
0,617,Retained
0,659,Retained
0,430,Retained
0,262,Retained
0,562,Retained
0,453,Retained
0,426,Retained
1,933,Attrited
0,923,Retained
0,850,Retained
0,492,Retained
0,563,Retained
0,657,Retained
0,805,Retained
1,955,Attrited
0,325,Retained
0,945,Retained
0,512,Retained
1,955,Attrited
1,726,Attrited
0,777,Retained
1,489,Attrited
1,915,Attrited
0,406,Retained
0,1000,Retained
1,763,Attrited
0,741,Retained
0,292,Retained
1,771,Attrited
0,596,Retained
1,753,Attrited
0,695,Retained
0,518,Retained
0,666,Retained
0,399,Retained
0,603,Retained
1,784,Attrited
0,289,Retained
0,380,Retained
0,275,Retained
0,269,Retained
0,328,Retained
0,839,Retained
0,930,Retained
0,626,Retained
0,421,Retained
0,478,Retained
0,654,Retained
0,801,Retained
1,258,Attrited
0,365,Retained
0,420,Retained
0,341,Retained
0,892,Retained
0,354,Retained
1,699,Attrited
0,970,Retained
0,501,Retained
1,471,Attrited
0,769,Retained
0,363,Retained
0,993,Retained
0,623,Retained
1,997,Attrited
0,538,Retained
0,985,Retained
0,873,Retained
0,361,Retained
0,374,Retained
0,232,Retained
0,725,Retained
0,397,Retained
0,504,Retained
0,595,Retained
0,940,Retained
0,591,Retained
0,364,Retained
0,237,Retained
0,444,Retained
1,812,Attrited
1,873,Attrited
1,785,Attrited
0,629,Retained
0,698,Retained
0,364,Retained
0,904,Retained
0,287,Retained
0,898,Retained
0,887,Retained
0,474,Retained
0,317,Retained
0,241,Retained
1,223,Attrited
0,607,Retained
0,513,Retained
0,911,Retained
0,612,Retained
0,437,Retained
1,676,Attrited
0,622,Retained
0,981,Retained
0,272,Retained
0,880,Retained
1,919,Attrited
0,582,Retained
0,691,Retained
0,675,Retained
0,723,Retained
1,382,Attrited
0,648,Retained
1,259,Attrited
0,361,Retained
1,921,Attrited
0,921,Retained
0,262,Retained
0,676,Retained
0,251,Retained
1,482,Attrited
0,813,Retained
0,981,Retained
0,888,Retained
0,561,Retained
0,802,Retained
0,870,Retained
0,780,Retained
0,472,Retained
0,554,Retained
0,508,Retained
0,829,Retained
1,951,Attrited
0,862,Retained
0,264,Retained
0,374,Retained
0,839,Retained
0,434,Retained
1,974,Attrited
0,680,Retained
1,538,Attrited
0,750,Retained
0,260,Retained
0,998,Retained
1,507,Attrited
0,239,Retained
0,438,Retained
0,798,Retained
1,320,Attrited
1,946,Attrited
1,719,Attrited
0,361,Retained
1,295,Attrited
0,572,Retained
0,955,Retained
0,921,Retained
0,971,Retained
1,374,Attrited
0,509,Retained
0,221,Retained
0,917,Retained
0,588,Retained
0,224,Retained
0,401,Retained
0,404,Retained
1,616,Attrited
0,475,Retained
0,708,Retained
1,320,Attrited
1,354,Attrited
0,357,Retained
0,911,Retained
0,994,Retained
0,757,Retained
0,774,Retained
0,793,Retained
1,747,Attrited
0,449,Retained
0,468,Retained
0,637,Retained
0,495,Retained
0,968,Retained
0,402,Retained
0,588,Retained
0,830,Retained
0,824,Retained
0,442,Retained
0,859,Retained
0,851,Retained
0,299,Retained
0,348,Retained
0,399,Retained
0,550,Retained
0,899,Retained
0,479,Retained
0,249,Retained
0,221,Retained
0,531,Retained
0,262,Retained
0,797,Retained
0,411,Retained
0,419,Retained
0,259,Retained
0,345,Retained
0,940,Retained
1,497,Attrited
0,671,Retained
0,331,Retained
1,376,Attrited
0,581,Retained
1,220,Attrited
0,914,Retained
0,1000,Retained
0,225,Retained
1,709,Attrited
0,717,Retained
1,726,Attrited
0,848,Retained
0,857,Retained
1,946,Attrited
0,253,Retained
0,624,Retained
0,921,Retained
0,710,Retained
0,476,Retained
0,256,Retained
0,690,Retained
0,682,Retained
0,995,Retained
0,253,Retained
0,658,Retained
1,472,Attrited
0,992,Retained
0,709,Retained
0,759,Retained
1,397,Attrited
0,874,Retained
0,590,Retained
0,716,Retained
0,1000,Retained
0,876,Retained
0,677,Retained
1,644,Attrited
1,964,Attrited
0,352,Retained
0,936,Retained
0,286,Retained
0,475,Retained
0,491,Retained
0,599,Retained
0,425,Retained
0,504,Retained
0,365,Retained
0,287,Retained
0,583,Retained
0,319,Retained
0,971,Retained
0,241,Retained
0,801,Retained
0,324,Retained
0,940,Retained
1,457,Attrited
0,481,Retained
1,410,Attrited
0,539,Retained
0,459,Retained
0,845,Retained
0,917,Retained
0,772,Retained
0,340,Retained
0,725,Retained
0,366,Retained
0,890,Retained
0,640,Retained
0,673,Retained
1,896,Attrited
0,598,Retained
0,223,Retained
1,980,Attrited
1,327,Attrited
1,687,Attrited
1,502,Attrited
0,641,Retained
0,348,Retained
0,633,Retained
0,449,Retained
0,710,Retained
0,662,Retained
0,860,Retained
0,960,Retained
0,782,Retained
1,749,Attrited
0,520,Retained
0,809,Retained
0,705,Retained
1,746,Attrited
0,950,Retained
1,715,Attrited
0,594,Retained
0,785,Retained
0,319,Retained
0,480,Retained
1,285,Attrited
0,979,Retained
0,554,Retained
0,988,Retained
0,911,Retained
0,722,Retained
1,812,Attrited
0,638,Retained
0,275,Retained
0,271,Retained
0,377,Retained
0,763,Retained
1,647,Attrited
0,800,Retained
0,489,Retained
0,290,Retained
0,800,Retained
0,630,Retained
1,875,Attrited
0,885,Retained
0,451,Retained
0,977,Retained
0,468,Retained
1,230,Attrited
0,629,Retained
0,804,Retained
0,941,Retained
1,351,Attrited
1,778,Attrited
0,291,Retained
0,742,Retained
1,666,Attrited
0,691,Retained
0,351,Retained
1,658,Attrited
0,558,Retained
0,701,Retained
0,797,Retained
1,661,Attrited
0,778,Retained
0,716,Retained
0,252,Retained
0,346,Retained
0,989,Retained
0,249,Retained
0,569,Retained
0,938,Retained
0,628,Retained
1,244,Attrited
1,334,Attrited
1,919,Attrited
0,894,Retained
0,475,Retained
0,527,Retained
0,949,Retained
0,650,Retained
0,989,Retained
0,632,Retained
0,961,Retained
0,627,Retained
0,590,Retained
0,712,Retained
0,678,Retained
0,240,Retained
0,432,Retained
0,281,Retained
0,913,Retained
1,727,Attrited
1,342,Attrited
0,644,Retained
0,275,Retained
1,354,Attrited
0,268,Retained
0,623,Retained
0,346,Retained
0,642,Retained
0,840,Retained
0,543,Retained
0,768,Retained
0,367,Retained
0,488,Retained
0,670,Retained
0,883,Retained
0,983,Retained
0,244,Retained
0,946,Retained
0,500,Retained
0,270,Retained
0,879,Retained
0,980,Retained
0,798,Retained
0,381,Retained
0,333,Retained
1,284,Attrited
0,542,Retained
0,676,Retained
1,847,Attrited
0,748,Retained
0,931,Retained
0,743,Retained
0,596,Retained
0,756,Retained
0,303,Retained
0,349,Retained
0,360,Retained
0,595,Retained
0,281,Retained
1,879,Attrited
0,354,Retained
0,412,Retained
0,294,Retained
1,430,Attrited
0,876,Retained
0,680,Retained
0,498,Retained
0,409,Retained
0,223,Retained
0,673,Retained
0,302,Retained
0,743,Retained
0,970,Retained
0,271,Retained
0,882,Retained
0,645,Retained
0,484,Retained
0,606,Retained
0,759,Retained
0,868,Retained
0,662,Retained
0,283,Retained
1,817,Attrited
0,787,Retained
0,856,Retained
0,814,Retained
0,584,Retained
1,704,Attrited
0,570,Retained
0,274,Retained
0,479,Retained
0,823,Retained
0,276,Retained
0,306,Retained
0,248,Retained
1,853,Attrited
1,977,Attrited
0,417,Retained
1,505,Attrited
0,655,Retained
0,877,Retained
0,933,Retained
0,413,Retained
1,263,Attrited
0,436,Retained
0,569,Retained
0,395,Retained
0,425,Retained
0,391,Retained
1,422,Attrited
0,709,Retained
0,449,Retained
0,628,Retained
0,275,Retained
0,600,Retained
0,956,Retained
0,989,Retained
0,537,Retained
1,772,Attrited
0,802,Retained
1,851,Attrited
0,451,Retained
1,252,Attrited
1,562,Attrited
0,320,Retained
1,448,Attrited
0,479,Retained
1,298,Attrited
0,699,Retained
0,674,Retained
0,592,Retained
0,268,Retained
1,338,Attrited
0,469,Retained
0,610,Retained
0,439,Retained
0,270,Retained
1,790,Attrited
0,253,Retained
0,421,Retained
1,658,Attrited
0,424,Retained
0,404,Retained
1,675,Attrited
0,693,Retained
0,358,Retained
0,635,Retained
0,325,Retained
0,992,Retained
0,430,Retained
1,495,Attrited
1,858,Attrited
0,897,Retained
0,739,Retained
1,993,Attrited
0,733,Retained
0,222,Retained
0,564,Retained
1,910,Attrited
1,519,Attrited
0,238,Retained
1,912,Attrited
0,531,Retained
0,940,Retained
0,408,Retained
1,444,Attrited
0,739,Retained
0,749,Retained
0,652,Retained
1,235,Attrited
0,626,Retained
0,906,Retained
0,675,Retained
0,916,Retained
0,568,Retained
0,252,Retained
1,381,Attrited
0,837,Retained
0,283,Retained
1,697,Attrited
1,358,Attrited
1,448,Attrited
0,314,Retained
1,983,Attrited
1,688,Attrited
0,274,Retained
0,901,Retained
0,446,Retained
1,290,Attrited
0,941,Retained
0,875,Retained
0,339,Retained
0,712,Retained
1,599,Attrited
0,506,Retained
0,946,Retained
0,748,Retained
1,887,Attrited
1,510,Attrited
0,407,Retained
0,229,Retained
0,451,Retained
0,498,Retained
0,446,Retained
0,676,Retained
0,259,Retained
1,219,Attrited
0,979,Retained
0,267,Retained
0,975,Retained
0,928,Retained
0,487,Retained
1,842,Attrited
0,907,Retained
0,543,Retained
0,696,Retained
0,489,Retained
1,899,Attrited
1,366,Attrited
1,850,Attrited
0,321,Retained
0,641,Retained
0,988,Retained
0,582,Retained
0,873,Retained
1,927,Attrited
0,511,Retained
0,269,Retained
0,233,Retained
0,664,Retained
0,850,Retained
0,839,Retained
0,254,Retained
0,546,Retained
0,347,Retained
0,706,Retained
0,995,Retained
1,936,Attrited
0,442,Retained
0,701,Retained
0,550,Retained
0,574,Retained
1,770,Attrited
0,521,Retained
0,621,Retained
0,840,Retained
0,301,Retained
1,590,Attrited
0,451,Retained
0,726,Retained
0,476,Retained
1,420,Attrited
0,931,Retained
1,548,Attrited
0,467,Retained
0,329,Retained
0,458,Retained
0,378,Retained
1,764,Attrited
1,523,Attrited
0,740,Retained
0,595,Retained
0,350,Retained
1,294,Attrited
1,721,Attrited
0,990,Retained
0,822,Retained
1,662,Attrited
0,889,Retained
0,692,Retained
0,887,Retained
0,233,Retained
0,647,Retained
1,878,Attrited
0,705,Retained
1,527,Attrited
1,348,Attrited
0,566,Retained
0,332,Retained
0,498,Retained
0,361,Retained
1,439,Attrited
0,334,Retained
0,782,Retained
0,226,Retained
1,296,Attrited
1,615,Attrited
1,427,Attrited
0,399,Retained
0,322,Retained
0,696,Retained
0,355,Retained
0,932,Retained
1,552,Attrited
0,236,Retained
0,857,Retained
0,488,Retained
0,935,Retained
1,730,Attrited
0,246,Retained
0,502,Retained
0,663,Retained
0,359,Retained
0,341,Retained
0,846,Retained
0,754,Retained
0,254,Retained
1,654,Attrited
0,933,Retained
0,865,Retained
0,308,Retained
0,837,Retained
0,941,Retained
1,658,Attrited
0,360,Retained
0,391,Retained
1,621,Attrited
0,448,Retained
0,765,Retained
0,428,Retained
0,739,Retained
0,691,Retained
0,496,Retained
0,295,Retained
0,842,Retained
0,951,Retained
0,335,Retained
1,961,Attrited
0,430,Retained
1,580,Attrited
1,858,Attrited
0,327,Retained
0,873,Retained
0,264,Retained
0,456,Retained
0,911,Retained
0,546,Retained
0,801,Retained
0,718,Retained
1,683,Attrited
0,332,Retained
1,339,Attrited
0,452,Retained
0,739,Retained
0,703,Retained
0,386,Retained
0,569,Retained
0,962,Retained
0,644,Retained
0,876,Retained
1,806,Attrited
0,739,Retained
1,252,Attrited
0,790,Retained
0,253,Retained
0,856,Retained
0,972,Retained
0,860,Retained
0,226,Retained
0,945,Retained
0,917,Retained
0,465,Retained
1,511,Attrited
0,301,Retained
0,724,Retained
0,675,Retained
0,573,Retained
0,463,Retained
0,809,Retained
0,402,Retained
0,298,Retained
1,711,Attrited
0,457,Retained
0,962,Retained
0,558,Retained
0,497,Retained
0,747,Retained
0,382,Retained
1,586,Attrited
0,947,Retained
1,783,Attrited
0,556,Retained
0,708,Retained
1,625,Attrited
1,375,Attrited
1,822,Attrited
0,499,Retained
0,708,Retained
1,852,Attrited
1,748,Attrited
1,413,Attrited
0,712,Retained
0,589,Retained
0,679,Retained
0,315,Retained
0,766,Retained
0,428,Retained
0,826,Retained
1,750,Attrited
0,224,Retained
0,768,Retained
0,933,Retained
1,970,Attrited
0,929,Retained
0,909,Retained
0,357,Retained
0,834,Retained
0,824,Retained
0,758,Retained
0,759,Retained
0,796,Retained
0,498,Retained
1,559,Attrited
0,225,Retained
